article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_005,ICE,ORGANIZATION,-0.08145096725881255,-0.1128,0.031349032741187444,6
art_005,White House,ORGANIZATION,-0.12856114527676255,-0.1128,0.015761145276762548,2
art_005,South Korea,ORGANIZATION,-0.03948264511564048,-0.1128,0.07331735488435952,6
art_005,Foreign Ministry,ORGANIZATION,-0.09032230381853878,-0.1128,0.022477696181461213,1
art_005,U.S.,ORGANIZATION,0.0016248764473453371,-0.1128,0.11442487644734534,9
art_005,Lee Jae-woong,PERSON,-0.001373933962895535,-0.1128,0.11142606603710446,1
art_005,Homeland Security Investigations,ORGANIZATION,-0.0879600178450346,-0.1128,0.024839982154965398,1
art_005,DOJ,ORGANIZATION,-0.052501146448776126,-0.1128,0.06029885355122387,1
art_005,Democratic Party,ORGANIZATION,-0.12150150537490845,-0.1128,0.00870150537490845,1
art_005,Governor,PERSON,-0.12150150537490845,-0.1128,0.00870150537490845,1
art_005,Brian Kemp,PERSON,-0.12150150537490845,-0.1128,0.00870150537490845,1
art_005,Hyundai,ORGANIZATION,-0.10083054094219632,-0.1128,0.01196945905780368,9
art_005,Hyundai Motor,ORGANIZATION,-0.0008191992552989783,-0.1128,0.11198080074470101,6
art_005,LG Energy,ORGANIZATION,0.01913039058126742,-0.1128,0.13193039058126743,2
art_006,US Immigration and Customs Enforcement,ORGANIZATION,-0.06664738443214446,-0.0752,0.00855261556785554,1
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,South Koreans,PERSON,-0.01098865334643051,-0.0752,0.06421134665356949,1
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,Hyundai Motor Group,ORGANIZATION,-0.01098865334643051,-0.0752,0.06421134665356949,1
art_006,LG Energy Solution,ORGANIZATION,-0.01098865334643051,-0.0752,0.06421134665356949,1
art_006,US Homeland Security,ORGANIZATION,0.1377837770851329,-0.0752,0.21298377708513289,1
art_006,Trump administration,ORGANIZATION,0.1377837770851329,-0.0752,0.21298377708513289,1
art_006,vice foreign minister,PERSON,-0.45486277202144265,-0.0752,0.37966277202144266,1
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,President,PERSON,0.004665530679631047,-0.0752,0.07986553067963105,1
art_006,Lee Jae-myung,PERSON,0.004665530679631047,-0.0752,0.07986553067963105,1
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,America,ORGANIZATION,-0.30384499914944174,-0.0752,0.22864499914944175,5
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,US,ORGANIZATION,-0.21055701975867697,-0.0752,0.13535701975867698,19
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,South Korea,ORGANIZATION,-0.1942822250087321,-0.0752,0.1190822250087321,17
art_006,China,ORGANIZATION,0.27585979038849473,-0.0752,0.3510597903884947,1
art_006,Center for Korean Peninsula Studies,ORGANIZATION,0.001958784294401994,-0.0752,0.077158784294402,1
art_006,Shanghai University of International Business and Economics,ORGANIZATION,0.001958784294401994,-0.0752,0.077158784294402,1
art_007,South Korea,ORGANIZATION,-0.05910664743714733,-0.0363,0.02280664743714733,2
art_007,South Korea,ORGANIZATION,-0.05910664743714733,-0.0363,0.02280664743714733,2
art_007,US,ORGANIZATION,-0.040928710632475225,-0.0363,0.004628710632475226,7
art_007,Hyundai,ORGANIZATION,-0.024931355088483542,-0.0363,0.011368644911516457,3
art_007,Hyundai Motor Group,ORGANIZATION,-0.0034429021179676056,-0.0363,0.03285709788203239,1
art_007,LG Energy Solution,ORGANIZATION,-0.0034429021179676056,-0.0363,0.03285709788203239,1
art_007,US Homeland Security Investigations,ORGANIZATION,-0.04432095226366073,-0.0363,0.00802095226366073,1
art_007,HSI,ORGANIZATION,0.0013066543324384838,-0.0363,0.03760665433243848,2
art_007,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",ORGANIZATION,-0.026797493919730186,-0.0363,0.009502506080269812,1
art_007,@ATFAtlanta,ORGANIZATION,0.023503195065131877,-0.0363,0.059803195065131876,2
art_007,HSI,ORGANIZATION,0.0013066543324384838,-0.0363,0.03760665433243848,2
art_007,FBI,ORGANIZATION,0.0469342609285377,-0.0363,0.0832342609285377,1
art_007,DEA,ORGANIZATION,0.0469342609285377,-0.0363,0.0832342609285377,1
art_007,ICE,ORGANIZATION,-0.008061395084951073,-0.0363,0.028238604915048926,3
art_007,GSP,ORGANIZATION,0.0469342609285377,-0.0363,0.0832342609285377,1
art_007,Hyundai,ORGANIZATION,-0.024931355088483542,-0.0363,0.011368644911516457,3
art_007,ATF Atlanta,ORGANIZATION,7.212920172605664e-05,-0.0363,0.036372129201726056,1
art_007,@ATFAtlanta,ORGANIZATION,0.023503195065131877,-0.0363,0.059803195065131876,2
art_007,Foreign Minister,PERSON,7.212920172605664e-05,-0.0363,0.036372129201726056,1
art_007,Cho Hyun,PERSON,7.212920172605664e-05,-0.0363,0.036372129201726056,1
art_007,Foreign Ministry,ORGANIZATION,-0.0142897367477417,-0.0363,0.0220102632522583,1
art_007,US Embassy,ORGANIZATION,-0.013498123735189438,-0.0363,0.02280187626481056,1
art_007,President,PERSON,-0.013498123735189438,-0.0363,0.02280187626481056,1
art_007,Lee Jae-myung,PERSON,-0.013498123735189438,-0.0363,0.02280187626481056,1
art_007,Seoul,ORGANIZATION,-0.013498123735189438,-0.0363,0.02280187626481056,1
art_007,US,ORGANIZATION,-0.040928710632475225,-0.0363,0.004628710632475226,7
art_007,President Donald Trump,PERSON,-0.013498123735189438,-0.0363,0.02280187626481056,1
art_008,South Korea,ORGANIZATION,-0.03561259757498192,-0.0265,0.00911259757498192,8
