api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
Azure,art_105,2026-05-23T00:31:12.515777,success,144,123,True,6508,4690,3.0
AWS,art_106,2026-05-23T00:31:15.781318,success,88,193,True,6439,4731,
Google,art_106,2026-05-23T00:31:18.743479,success,172,15,True,6439,4731,
Azure,art_106,2026-05-23T00:31:20.807738,success,138,125,True,6439,4731,1.0
AWS,art_107,2026-05-23T00:31:24.243109,success,108,195,True,4825,4673,
Google,art_107,2026-05-23T00:31:26.172802,success,161,15,True,4825,4673,
Azure,art_107,2026-05-23T00:31:29.127582,success,147,124,True,4825,4673,3.0
AWS,art_108,2026-05-23T00:31:32.464611,success,36,57,False,1279,1279,
Google,art_108,2026-05-23T00:31:34.837897,success,48,15,False,1279,1279,
Azure,art_108,2026-05-23T00:31:38.115129,success,43,44,False,1279,1279,0.0
AWS,art_109,2026-05-23T00:31:40.350612,success,73,102,False,2533,2533,
Google,art_109,2026-05-23T00:31:41.862319,success,82,15,False,2533,2533,
Azure,art_109,2026-05-23T00:31:44.595578,success,83,75,False,2533,2533,0.0
AWS,art_110,2026-05-23T00:31:47.058732,success,72,124,False,2874,2874,
Google,art_110,2026-05-23T00:31:48.572127,success,107,15,False,2874,2874,
Azure,art_110,2026-05-23T00:31:51.514764,success,94,77,False,2874,2874,2.0
AWS,art_111,2026-05-23T00:31:54.355313,success,104,205,True,5594,4591,
Google,art_111,2026-05-23T00:31:58.086924,success,162,15,True,5594,4591,
Azure,art_111,2026-05-23T00:32:01.157389,success,151,109,True,5594,4591,2.0
AWS,art_112,2026-05-23T00:32:04.640274,success,92,190,True,6681,4587,
Google,art_112,2026-05-23T00:32:07.266508,success,168,15,True,6681,4587,
Azure,art_112,2026-05-23T00:32:11.402018,success,137,122,True,6681,4587,2.0
AWS,art_113,2026-05-23T00:32:14.549361,success,56,148,False,3599,3599,
Google,art_113,2026-05-23T00:32:16.850195,success,120,15,False,3599,3599,
Azure,art_113,2026-05-23T00:32:20.793690,success,79,88,False,3599,3599,0.0
AWS,art_114,2026-05-23T00:32:23.869457,success,34,75,False,1941,1941,
Google,art_114,2026-05-23T00:32:26.124758,success,69,15,False,1941,1941,
Azure,art_114,2026-05-23T00:32:29.810542,success,60,56,False,1941,1941,0.0
AWS,art_115,2026-05-23T00:32:32.266294,success,103,159,False,3826,3826,
Google,art_115,2026-05-23T00:32:34.845681,success,137,15,False,3826,3826,
Azure,art_115,2026-05-23T00:32:38.847016,success,144,109,False,3826,3826,3.0
